code;nome;preco;placeholder;resultado
03024219;TRANSFORMADOR FONTE 12V - 90W                                                    Ns: 0000000036;44;não;IMPORTADO
02110024;PLACA FONTE CHAVEADA POTENCIA 80V / CONTROLE 80V                                 Ns: 1453030274;324.24;não;IMPORTADO
02110037;PLACA CONTROLE CRYOTECAR PCI RFC010101                                           Ns: 1529360177;128.8;não;IMPORTADO
03017105;CABO FLAT 24 VIAS - METRO                                                        Ns: 0000000005;30.4;não;IMPORTADO
03018090.;TRANSISTOR MOSFET FDD850N10L                                                     Ns: 0000000130;6.72;não;IMPORTADO
03018069;TRANSISTOR IRF 9530  / IRF 9540                                                  Ns: 0000000186;3.36;não;IMPORTADO
03024210.;BOBINA HF 4 FIO P/ DERMOSTEAM  CUSTOMIZADA                                       Ns: 0000000122.;19.6;não;IMPORTADO
03015139;MODULO DE ENTRADA AC - 3545-T1B02AE                                              Ns: 0000000048;30.24;não;IMPORTADO
0211003.0;PLACA CENTELHADORA                                                               Ns: 1428440060;67.2;não;IMPORTADO
0304912.3;CABO DO APLICADOR - FAMILIA ULTRASSOM/SONOPULSE - MONTADO                        Ns: 0000000105;31.36;não;IMPORTADO
03038670;ABRACADEIRA RADIAL EM ACO INOXIDAVEL DIAMETRO 10,5MM                             Ns: 0000000004;0.81;não;IMPORTADO
03038594;Abracadeira Radial em aco inoxidavel Diametro 15,3mm                             Ns: 0000000022;1.68;não;IMPORTADO
03038608;Abracadeira Radial em aco inoxidavel Diametro 12,3mm                             Ns: 0000000015;1.51;não;IMPORTADO
03038593;Abracadeira Radial em aco inoxidavel Diametro 11,9mm                             Ns: 0000000030;4.83;não;IMPORTADO
03073169;CHICOTE CABO APLICADOR FACIAL - MONTADO                                          Ns: 0000000034;44.24;não;IMPORTADO
03038576;TUBO ESPECIAL PU 10 X 6,5 AZUL                                                   Ns: 0000000049;16.19;não;IMPORTADO
03038577;TUBO ESPECIAL PU 12 X 8 AZUL                                                     Ns: 0000000028;27.93;não;IMPORTADO
03038144;TUBO ESPECIAL PU 8 X 5 AZUL                                                      Ns: 0000000101;13.72;não;IMPORTADO
BLING-16597334962;CABO DO APLICADOR - FAMILIA ULTRASSOM/SONOPULSE - MONTADO  Ns: 0000000104;31.36;não;IMPORTADO
03027768;ADESIVO PARA ESPACADOR 20MM  Ns: 0000000018;4.59;não;IMPORTADO
02110022;CHICOTE  CONECTOR PARA APLICADOR RF  Ns: 1457341001;67.76;não;IMPORTADO
BLING-16597334959;CABO MICROFONE 1 X 0,14MM   Ns: 0000000124;5.04;não;IMPORTADO
02110730;CABO APLICADOR SONOFOCUS CORPORAL Ns: 1529351001;67.76;não;IMPORTADO
03049114;CABO DO APLICADOR DE ULTRASSOM FAMILIA SONOPULSE   Ns: 0000000008;23.52;não;IMPORTADO
02110507;PLACA SMD POTENCIA PCI RFC010102                                                 Ns: 1538920001;332.64;não;IMPORTADO
BLING-16597274547;CRISTAL 12X10MM EM FORMATO DE CONE (PRISMA) DO APLICADOR MODELO HAKON;537.22;não;IMPORTADO
BLING-16597266183;Wattímetro Analógico Bird;800;não;IMPORTADO
1219850011;SONOPULSE II - V3.0;3500;não;IMPORTADO
BLING-16591107708;TFC - PLACA FONTE CHAVEADA 78V - 400W (VENDAS)                                   Ns: 1235550009;190.4;não;IMPORTADO
BLING-16591107703;ELETRODO VULCANIZADO P/ THERMOPULSE SOLID STATE                                  Ns: 1502021001;143.2;não;IMPORTADO
BLING-16589876859;HECCUS (TURBO) IBRAMED;500;não;IMPORTADO
03017004;CABO MICROFONE 1 X 0,14MM                                                        Ns: 0000000123;5.04;não;IMPORTADO
03027963;ADESIVO VINIL APLICADOR FACIAL SONOFOCUS SAFIRA                                  Ns: 0000000020;1.76;não;IMPORTADO
02071572;COPO APLICADOR FACIAL                                                            Ns: 1520770016;184.8;não;IMPORTADO
03049006;CABO 38 ELETROESTIMULACAO (PRETO/LARANJA 2 VIAS CADA) - INJETADO                 Ns: 0000000210;28.91;não;IMPORTADO
02071704;PLACA FONTE CHAVEADA 12V - 90W                                                   Ns: 1517390011;206.08;não;IMPORTADO
03011313;MOSFET N-CH 100V 36A TO220AB - IRL540NPBF                                        Ns: AUTO043783;5.88;não;IMPORTADO
03073250;CABO APLICADOR CRYOTECAR RESISTIVO/CAPACITIVO - MONTADO                          Ns: 0000005111;23.4;não;IMPORTADO
BLING-16528936745;TRANSISTOR MOSFET FDD850N10L                                                     Ns: 0000000127;4.8;não;IMPORTADO
BLING-16528936406;SUPORTE APLICADOR - PREPARADO                                                    Ns: 1476201001;38;não;IMPORTADO
BLING-16528936405;CORPO DO APLICADOR ULTRASSOM CORPORAL C/ FRESA                                   Ns: 0000000002;248;não;IMPORTADO
1772732;MODULO DIODO A LASER COM APLICADOR SCANNER A SER UTILIZADO EM EQUIP. ESTETICO A LASER;12628.04;não;IMPORTADO
012509RM04;HTM AURIUS PLASMA NS:444611;4090;não;IMPORTADO
5014171MP2;BEAUTY STEAM MAXX  NS : 386538;2232;não;IMPORTADO
03073252;CABO APLICADOR CORPORAL RADIOFREQUENCIA + VACUO - MONTADO;176.87;não;IMPORTADO
BLING-16517456205;COPO APLICADOR FACIAL                                                            Ns: 1103310027;264;não;IMPORTADO
02049095;CABECOTE DE SILICONE C/ NTC - 10CM2;650;não;IMPORTADO
172533;PLACA CONTROLADORA DISPLAY TOUCH 4,3 (REV02- NOVO C.I.);261;não;IMPORTADO
BLING-16493071812;PLACA CONTROLE NEURODYN PORTABLE SYSTEM                                          Ns: 1441470404;423;não;IMPORTADO
BLING-16493071811;PLACA CONTROLE NEURODYN PORTABLE SYSTEM                                          Ns: 1441470405;423;não;IMPORTADO
BLING-16493071732;TOMADA DE ENTRADA 2 TERMINAIS - 12CM                                             Ns: AUTO041121;11.9;não;IMPORTADO
5013868;TD ACESSORIO BLISTER PONTEIRA PROFESSIONAL TIP PLASMA;700;não;IMPORTADO
EQRAD019RM;TD SPECTRA PLUS + PLASMA NS: F100388;8990;não;IMPORTADO
CFOP6949;PLACA MONTADA INTERFACE DISPLAY 128 X 64 AZ R01;100.83;não;IMPORTADO
03049123;CABO APLICADOR HECCUS GRANDES AREAS                                                      Ns: 1429341001;94.4;não;IMPORTADO
02110457;CABO DO APLICADOR - FAMILIA ULTRASSOM/SONOPULSE - MONTADO                     Ns: 0000000094;44.8;não;IMPORTADO
02071729;PLACA CONTROLE NEURODYN PORTABLE SYSTEM                                          Ns: 1358660052;423;não;IMPORTADO
BLING-16480046063;SENSOR DE FLUXO ICFS-0260                                                        Ns: 0000000034;114;não;IMPORTADO
BLING-16468001314;VIBRIA - SÉRIE Nº 080444;0;não;IMPORTADO
BLING-16468001313;TENS - FES 4 CANAIS - SÉRIE Nº 103367;0;não;IMPORTADO
BLING-16468001311;APLICADOR DO BEAUTY SHAPE - SÉRIE Nº 145336;0;não;IMPORTADO
02071850;APLICADOR PEQUENO RESISTIVO                                                      Ns: 1403800002;1072;não;IMPORTADO
BLING-16430905147;PLACA BEAUTY DERMO MAXX R3;452.97;não;IMPORTADO
BLING-16430811524;PLACA BEAUTY DERMO MAXX R3;452.97;não;IMPORTADO
009733;PLACA BEAUTY DERMO MAXX R3;452.97;não;IMPORTADO
BLING-16397273807;PLACA ULTRAFOCUS REV.01;416.65;não;IMPORTADO
03015096;JACK J1 (PLUG ISOLADO) - 90o. SOLDA PLACA                                        Ns: 0000000093;3.36;não;IMPORTADO
BLING-16392819590;TFC - PLACA SMD HF IBRAMED PCI HFT010101 - MONTADA (VENDAS)                      Ns: 1374780011;60.8;não;IMPORTADO
BLING-16392629844;PLACA CONTROLE NEURODYN PORTABLE TENS FES                                        Ns: 1393940676;319.2;não;IMPORTADO
BLING-16392628428;TERMISTOR NTC 10K - B57861S0103A039                                              Ns: 0000000011;55.2;não;IMPORTADO
BLING-16392628427;PLACA SMD APLICADOR PLANO - PCI CLT010104 - MONTADA                              Ns: 0224041874;170.43;não;IMPORTADO
BLING-16392628426;PELTIER TEC1-127-06-12-4040-405-66-1                                             Ns: 0000000006;359.2;não;IMPORTADO
BLING-16388979907;ANEL ORING 7,65 X 1,78                                                           Ns: 0000000033;1.2;não;IMPORTADO
BLING-16388979906;ANEL ORING 7,65 X 1,78                                                           Ns: 0000000033;1.05;não;IMPORTADO
BLING-16388979905;ANEL ORING 7,65 X 1,78                                                           Ns: 0000000033;1.05;não;IMPORTADO
BLING-16388979754;PLACA CONTROLE NEURODYN PORTABLE TENS                                            Ns: 1356760025;319.2;não;IMPORTADO
BLING-16388979661;CABO APLICADOR FACIAL RADIOFREQUENCIA + VACUO - MONTADO                          Ns: 0000000010;95.2;não;IMPORTADO
02110259;PLACA CONTROLE NEURODYN PORTABLE TENS;231.2;não;IMPORTADO
02071219;CHICOTE CONECTOR PEDAL                                                           Ns: 1233130003;20.8;não;IMPORTADO
02039139;PLACA CONTROLE NEURODYN PORTABLE TENS / FES                                      Ns: 0993030014;231.2;não;IMPORTADO
02110322;CABECOTE DE SILICONE 8CM2                                                    Ns: AUTO038265;155.2;não;IMPORTADO
02110118;MINIVENTILADOR 60 X 60 X 20 - CONECTOR PEF1-03 - 13CM;100;não;IMPORTADO
02071290;PLACA CONTROLE SONOPULSE COMPACT 3 MHZ VS 2;798.4;não;IMPORTADO
CFOP5949;CABO ELETROESTIMULACAO DUPLO BRANCO -PINO VERMELHO E PINO PRETO                  Ns: 0000000061;29.4;não;IMPORTADO
03049095;CABO ELETROESTIMULACAO DUPLO BRANCO -PINO  VERMELHO E PINO PRETO;29.4;não;IMPORTADO
